nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3d,ycoord3d
ACONF00102,1580.0,2538.0,02,BTM,HALL,Hall,Hall,Team A,1090.0,2120.0
ACONF00103,1648.0,2968.0,03,BTM,CONF,BTM Conference Center,BTM Conference,Team A,1029.0,2246.0
ADEPT00101,1401.0,2628.0,01,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room,Team A,938.0,2132.0
ADEPT00102,1395.0,2674.0,02,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,Team A,932.0,2095.0
ADEPT00201,1720.0,2847.0,01,BTM,DEPT,MS Waiting,MS Waiting,Team A,1080.0,2261.0
ADEPT00301,986.0,2852.0,01,BTM,DEPT,CART Waiting,CART Waiting,Team A,594.0,2130.0
AELEV00S01,1534.0,2777.0,01,BTM,ELEV,Elevator S 01,Elevator S 1,Team A,987.0,2187.0
AELEV00S02,1532.0,2777.0,02,BTM,ELEV,Elevator S 02,Elevator S 2,Team A,1001.0,2162.0
AELEV00S03,1539.0,2773.0,03,BTM,ELEV,Elevator S Floor 3,Elevator S 3,Team A,1014.0,2150.0
AELEV00SL2,1630.0,2742.0,L2,BTM,ELEV,Elevator S L2,Elevator S L2,Team A,988.0,2231.0
AEXIT001L2,1696.0,2788.0,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2,Team A,1018.0,2271.0
AHALL00101,1638.0,2553.0,01,BTM,HALL,Hall,Hall,Team A,1112.0,2120.0
AHALL00102,1591.0,2560.0,02,BTM,HALL,Hall,Hall,Team A,1105.0,2090.0
AHALL00103,1534.0,2732.0,03,BTM,HALL,Hall,Hall,Team A,1035.0,2133.0
AHALL001L2,1627.0,2782.0,L2,BTM,HALL,Hallway to Elevator,Hall,Team A,972.0,2251.0
AHALL00201,1608.0,2596.0,01,BTM,HALL,Hall,Hall,Team A,1088.0,2140.0
AHALL00202,1590.0,2604.0,02,BTM,HALL,Hall,Hall,Team A,1095.0,2107.0
AHALL00203,1600.0,2732.0,03,BTM,HALL,Hall,Hall,Team A,1068.0,2145.0
AHALL002L2,1698.0,2776.0,L2,BTM,HALL,Hallway Intersection,Hall,Team A,1022.0,2265.0
AHALL00301,1608.0,2737.0,01,BTM,HALL,Hall,Hall,Team A,1043.0,2200.0
AHALL00302,1590.0,2745.0,02,BTM,HALL,Hall,Hall,Team A,1034.0,2187.0
AHALL00303,1650.0,2732.0,03,BTM,HALL,Hall,Hall,Team A,1100.0,2155.0
AHALL003L2,1701.0,2734.0,L2,BTM,HALL,Hall,Hall,Team A,1036.0,2245.0
AHALL00401,1420.0,2737.0,01,BTM,HALL,Hall,Hall,Team A,954.0,2154.0
AHALL00402,1528.0,2745.0,02,BTM,HALL,Hall,Hall,Team A,1013.0,2153.0
AHALL00403,1650.0,2766.0,03,BTM,HALL,Hall,Hall,Team A,1089.0,2174.0
AHALL004L2,1698.0,2687.0,L2,BTM,HALL,Hall,Hall,Team A,1052.0,2223.0
AHALL00501,1420.0,2865.0,01,BTM,HALL,Hall,Hall,Team A,901.0,2239.0
AHALL00502,1398.0,2745.0,02,BTM,HALL,Hall,Hall,Team A,904.0,2117.0
AHALL00503,1650.0,2855.0,03,BTM,HALL,Hall,Hall,Team A,1049.0,2214.0
AHALL00601,1678.0,2865.0,01,BTM,HALL,Hall,Hall,Team A,1042.0,2293.0
AHALL00602,1683.0,2543.0,02,BTM,HALL,Hall,Hall,Team A,1164.0,2094.0
AHALL00603,1580.0,2858.0,03,BTM,HALL,HallNode,HallNode,Team A,1013.0,2205.0
AHALL00701,1017.0,2865.0,01,BTM,HALL,Hall,Hall,Team A,611.0,2142.0
AHALL00801,1532.0,2739.0,01,BTM,HALL,Hall,Hall,Team A,991.0,2179.0
AHALL00901,1581.0,2566.0,01,BTM,HALL,Hall,Hall,Team A,1074.0,2135.0
AHALL01001,1605.0,2568.0,01,BTM,HALL,Hall,Hall,Team A,1090.0,2120.0
AINFO001L2,1681.0,2747.0,L2,BTM,INFO,BTM Security Desk,Security,Team A,1022.0,2245.0
ALABS00103,1611.0,2678.0,03,BTM,LABS,Innovation Hub,Innovation Hub,Team A,1079.0,2121.0
ALABS001L2,1667.0,2682.0,L2,BTM,LABS,MRI CT Scan Imaging,MRI CT Imaging,Team A,1029.0,2217.0
ALABS00203,1671.0,2695.0,03,BTM,LABS,Clinical Trials,Clinical Trials,Team A,1117.0,2142.0
AREST00101,1556.0,2604.0,01,BTM,REST,Restroom S elevator 1st floor,Restroom,Team A,1032.0,2119.0
AREST00103,1552.0,2854.0,03,BTM,REST,Restroom BTM conference center 3rd floor,Restroom,Team A,1000.0,2198.0
ARETL00101,1619.0,2522.0,01,BTM,RETL,Cafe,Cafe,Team A,1126.0,2105.0
ASTAI00101,1642.0,2596.0,01,BTM,STAI,Cafe Stairs,Cafe Staris,Team A,1104.0,2144.0
ASTAI00102,1650.0,2602.0,02,BTM,STAI,Stairs Floor 2,Stairs Floor 2,Team A,1125.0,2120.0
BCONF00102,2150.0,1025.0,02,45 Francis,CONF,Duncan Reid Conference Room,Conf B0102,Team B,2014.0,1423.0
BHALL03802,2279.0,786.0,02,45 Francis,HALL,Hallway Intersection 38 Level 2,Hallway B3802,Team B,2193.0,1323.0
BDEPT00202,2166.0,1039.0,02,45 Francis,DEPT,Oral Medicine and Dentistry,DEPT B0202,Team B,2013.0,1435.0
BDEPT00302,2385.0,753.0,02,45 Francis,DEPT,Lee Bell Breast Center,DEPT B0302,Team B,2293.0,1320.0
BDEPT00402,2439.0,902.0,02,45 Francis,DEPT,Jen Center for Primary Care,DEPT B0402,Team B,2266.0,1442.0
BDEPT00502,2623.0,1018.0,02,45 Francis,DEPT,Ear Nose & Throat,DEPT B0502,Team B,2358.0,1553.0
BDEPT00602,2782.0,1303.0,02,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102,Team B,2377.0,1747.0
BDEPT00702,2945.0,775.0,02,45 Francis,DEPT,Plastic Surgery,DEPT B0702,Team B,2690.0,1510.0
BDEPT00802,3155.0,890.0,02,45 Francis,DEPT,Outpatient Pharmacy,DEPT B0802,Team B,2834.0,1627.0
BDEPT00902,3257.0,879.0,02,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902,Team B,2900.0,1649.0
BHALL00102,2238.0,902.0,02,45 Francis,HALL,Hallway Intersection 1 Level 2,Hallway B0102,Team B,2121.0,1377.0
